,Cadastrais - Nome,Cadastrais - Classe - Nome,Cadastrais - Subclasse - Nome,Adicionais - Código de Barras
2772,CHOC PO QUALIMAX 50% 1 KG,PRODUTOS,PROD - CHOCOLATE PO,7891122115542.0
2773,CHOC PO QUALIMAX 50% 1Kg,PRODUTOS,PEC - ENGRENAGEM,
2774,CHOC PO QUALIMAX 50% 2KG (CX),PRODUTOS,PEC - ENGRENAGEM,
2775,CHOC PO SELECTA 100% 500 G,PRODUTOS,PROD - CHOCOLATE PO,7896411856755.0
2776,CHOC PO SELECTA 33% 1KG,PRODUTOS,PROD - CHOCOLATE PO,7896411807160.0
2777,CHOC PO SELECTA 50% 1 KG,PRODUTOS,PROD - CHOCOLATE PO,7896411807177.0
2778,CHOC PO SELECTA 50% 500G,PRODUTOS,PROD - CHOCOLATE PO,7896411874346.0
2779,CHOC PO SELECTA 70% 500G,PRODUTOS,PROD - CHOCOLATE PO,7896411856762.0
2780,CHOC PO SOCACAU 50% 1KG,PRODUTOS,PROD - CHOCOLATE PO,619205544525.0
2781,CHOC PO SOCACAU 50% 200G,PRODUTOS,PROD - CHOCOLATE PO,619205608876.0
2783,CHOCOLATE BRIG RED. 01Kg,PRODUTOS,PEC - ENGRENAGEM,
2784,CHOCOLATE EM PÓ 50% SC 25Kg,PRODUTOS,PEC - ENGRENAGEM,78911122114446.0
2785,Chocolate em pó Mauri 33% 1Kg,PRODUTOS,PEC - ENGRENAGEM,
2786,Chocolate em pó mauri 50% 1Kg,PRODUTOS,PEC - ENGRENAGEM,
2787,Chocolate em pó Nestlé 01Kg,PRODUTOS,PEC - ENGRENAGEM,
2788,Chocolate em pó premium 32% MIX 1Kg,PRODUTOS,PEC - ENGRENAGEM,
2789,CHOCOLATE GRANULADO MACIO 100G,PRODUTOS,PROD - GRANULADOS,7897011511761.0
2790,CHOCOLATE GRANULADO SÍBER 01Kg,PRODUTOS,PEC - ENGRENAGEM,
2791,"CHOCOLATE INTENSO FORN XAMEGO  BOM  1,01KG",PRODUTOS,PROD - DOCES RECHEIOS,7896310650867.0
2792,CHOCOPASTA ARCOLOR 800G,PRODUTOS,PEC - ENGRENAGEM,
2793,Chocopower em pó solúvel 01Kg,PRODUTOS,PEC - ENGRENAGEM,
2898,CJR02 BR100 NS VT 185x185x48  UNID,PRODUTOS,PEC - ENGRENAGEM,
2899,CLARA DE OVO FLEISCHEGGS PAST. RESFRIADO 1KG,PRODUTOS,PROD - OVOS PASTEURIZADOS,7898331010019.0
2900,CLARA DE OVO INOVO PAST. RESFRIADO 1KG,PRODUTOS,PEC - ENGRENAGEM,
2901,CLARA DE OVO PAST FLEISCHEGGES 500gr,PRODUTOS,PEC - ENGRENAGEM,7898331010620.0
2904,CMC ICEBERG 100G,PRODUTOS,PROD - PRODUTOS DIVERSOS,7898329015750.0
2905,CMC ICEBERG 50G,PRODUTOS,PROD - PRODUTOS DIVERSOS,7898329013350.0
2906,CMC MIX 50G,PRODUTOS,PROD - PRODUTOS DIVERSOS,7897011502363.0
2907,CMC SUGAR ART 40G,PRODUTOS,PROD - PRODUTOS DIVERSOS,7898956779919.0
2913,COB  MAVALERIO CHOC AO LEITE  1KG,PRODUTOS,PEC - ENGRENAGEM,
2914,COB  MAVALERIO CHOC MEIO AMARGO 1KG,PRODUTOS,PEC - ENGRENAGEM,
2915,"COB BARRA HARALD CONF AO LEITE 1,01Kg",PRODUTOS,PROD - CHOC BARRA/GOTA,7897077836853.0
2916,"COB BARRA HARALD CONF BLEND 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7897077836877.0
2917,"COB BARRA HARALD CONF BRANCO 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7897077836846.0
2918,"COB BARRA HARALD CONF M AMARGO 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7897077836860.0
2919,"COB BARRA HARALD MELKEN AO LEITE 1,05KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7897077820982.0
2920,"COB BARRA HARALD MELKEN BLEND 1,05KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7897077820524.0
2921,"COB BARRA HARALD TOP AO LEITE 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7897077820661.0
2922,"COB BARRA HARALD TOP AO LEITE 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7897077837232.0
2923,"COB BARRA HARALD TOP BLEND 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7897077837256.0
2924,"COB BARRA HARALD TOP BRANCO 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7897077837249.0
2925,"COB BARRA HARALD TOP M AMARGO 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7897077837225.0
2926,"COB BARRA JAZAM CHOCOCHEF AMARGO 1,05KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7896383073570.0
2927,"COB BARRA JAZAM CONF AO LEITE 1,05KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7896383054289.0
2928,"COB BARRA JAZAM CONF BLEND 1,05KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7896383000255.0
2929,"COB BARRA JAZAM CONF BRANCO 1,05KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7896383055132.0
2930,"COB BARRA JAZAM CONF M AMARGO 1,05KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7896383054500.0
2931,"COB BARRA MELKEN M AMARGO 1,05KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7897077820357.0
2932,"COB BARRA SELECTA CONF AO LEITE 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7896411891800.0
2933,"COB BARRA SELECTA CONF BLEND 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7896411891817.0
2934,"COB BARRA SELECTA CONF BRANCO 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7896411891794.0
2935,"COB BARRA SELECTA CONF M AMARGO 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7896411891824.0
2936,"COB BARRA SELECTA NAMUR AO LEITE 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7896411810375.0
